"timestep","E_new","S_count","E_count","I_count","R_count"
1,0,249750,250,0,0
2,0,249750,250,0,0
3,0,249750,250,0,0
4,3,249750,246,4,0
5,14,249747,209,44,0
6,35,249733,173,94,0
7,40,249698,168,134,0
8,45,249658,169,172,1
9,55,249613,184,197,6
10,64,249558,219,212,11
11,60,249494,263,222,21
12,52,249434,302,232,32
13,43,249382,333,229,56
14,55,249339,338,247,76
15,68,249284,342,280,94
16,86,249216,371,293,120
17,90,249130,404,328,138
18,82,249040,449,351,160
19,90,248958,477,383,182
20,125,248868,508,416,208
21,119,248743,579,441,237
22,125,248624,630,475,271
23,112,248499,687,514,300
24,140,248387,714,557,342
25,160,248247,768,616,369
26,151,248087,835,663,415
27,175,247936,882,724,458
28,207,247761,961,776,502
29,235,247554,1055,835,556
30,245,247319,1162,911,608
31,248,247074,1282,972,672
32,280,246826,1392,1026,756
33,261,246546,1526,1097,831
34,321,246285,1614,1203,898
35,351,245964,1733,1314,989
36,377,245613,1878,1435,1074
37,440,245236,2042,1546,1176
38,437,244796,2227,1703,1274
39,488,244359,2415,1830,1396
40,525,243871,2635,1967,1527
41,515,243346,2872,2122,1660
42,606,242831,3025,2325,1819
43,711,242225,3274,2534,1967
44,714,241514,3619,2747,2120
45,752,240800,3916,2956,2328
46,798,240048,4214,3187,2551
47,930,239250,4521,3465,2764
48,974,238320,4895,3791,2994
49,1060,237346,5288,4124,3242
50,1129,236286,5728,4440,3546
51,1191,235157,6168,4825,3850
52,1321,233966,6676,5189,4169
53,1357,232645,7198,5613,4544
54,1451,231288,7743,6034,4935
55,1559,229837,8301,6526,5336
56,1678,228278,8840,7064,5818
57,1787,226600,9424,7654,6322
58,1921,224813,10064,8264,6859
59,2079,222892,10762,8937,7409
60,2260,220813,11530,9646,8011
61,2388,218553,12377,10364,8706
62,2682,216165,13238,11235,9362
63,2682,213483,14354,12010,10153
64,2853,210801,15302,12916,10981
65,2909,207948,16340,13854,11858
66,3147,205039,17256,14868,12837
67,3287,201892,18290,15893,13925
68,3459,198605,19240,17096,15059
69,3629,195146,20300,18277,16277
70,3789,191517,21350,19564,17569
71,3962,187728,22474,20784,19014
72,4097,183766,23665,22058,20511
73,4332,179669,24770,23434,22127
74,4256,175337,25947,24855,23861
75,4498,171081,26908,26291,25720
76,4653,166583,27925,27831,27661
77,4796,161930,28865,29560,29645
78,4848,157134,29892,31157,31817
79,4886,152286,30785,32802,34127
80,4938,147400,31619,34373,36608
81,4921,142462,32364,35983,39191
82,5079,137541,32938,37581,41940
83,5002,132462,33602,39137,44799
84,4827,127460,34005,40638,47897
85,4795,122633,34206,42123,51038
86,4814,117838,34278,43489,54395
87,4898,113024,34219,44830,57927
88,4534,108126,34269,46010,61595
89,4413,103592,33906,47240,65262
90,4454,99179,33445,48191,69185
91,4306,94725,33004,49137,73134
92,4261,90419,32431,49829,77321
93,3954,86158,31796,50443,81603
94,3794,82204,31033,50895,85868
95,3591,78410,30146,51097,90347
96,3517,74819,29147,51204,94830
97,3371,71302,28118,51210,99370
98,3080,67931,27145,51050,103874
99,2973,64851,25881,50811,108457
100,2724,61878,24748,50353,113021
101,2597,59154,23721,49409,117716
102,2497,56557,22530,48543,122370
103,2222,54060,21432,47531,126977
104,2120,51838,20208,46419,131535
105,1961,49718,19034,45204,136044
106,1864,47757,17789,44022,140432
107,1682,45893,16651,42625,144831
108,1594,44211,15598,40990,149201
109,1384,42617,14550,39526,153307
110,1458,41233,13462,37934,157371
111,1336,39775,12645,36232,161348
112,1219,38439,11902,34576,165083
113,1036,37220,11094,32925,168761
114,929,36184,10316,31184,172316
115,952,35255,9540,29498,175707
116,789,34303,8862,27918,178917
117,807,33514,8077,26332,182077
118,736,32707,7457,24824,185012
119,634,31971,6850,23397,187782
120,575,31337,6315,21994,190354
121,541,30762,5800,20601,192837
122,485,30221,5306,19323,195150
123,459,29736,4858,18052,197354
124,409,29277,4402,16877,199444
125,397,28868,4044,15752,201336
126,327,28471,3731,14569,203229
127,301,28144,3398,13515,204943
128,291,27843,3087,12609,206461
129,273,27552,2824,11625,207999
130,246,27279,2578,10836,209307
131,210,27033,2386,9986,210595
132,205,26823,2200,9211,211766
133,197,26618,2018,8463,212901
134,158,26421,1886,7754,213939
135,165,26263,1731,7129,214877
136,164,26098,1608,6616,215678
137,132,25934,1464,6099,216503
138,100,25802,1352,5583,217263
139,121,25702,1211,5136,217951
140,95,25581,1105,4730,218584
141,96,25486,1006,4356,219152
142,102,25390,918,3996,219696
143,80,25288,867,3647,220198
144,76,25208,798,3369,220625
145,57,25132,732,3121,221015
146,47,25075,663,2846,221416
147,52,25028,592,2607,221773
148,46,24976,534,2404,222086
149,52,24930,479,2199,222392
150,33,24878,452,2012,222658
151,46,24845,411,1843,222901
152,42,24799,378,1710,223113
153,25,24757,366,1546,223331
154,34,24732,318,1403,223547
155,24,24698,291,1299,223712
156,24,24674,263,1204,223859
157,20,24650,237,1099,224014
158,20,24630,210,1017,224143
159,17,24610,200,926,224264
160,11,24593,186,820,224401
161,11,24582,158,739,224521
162,17,24571,140,663,224626
163,10,24554,132,607,224707
164,13,24544,115,550,224791
165,8,24531,104,508,224857
166,8,24523,94,458,224925
167,7,24515,87,415,224983
168,8,24508,75,370,225047
169,12,24500,69,349,225082
170,10,24488,68,316,225128
171,6,24478,65,286,225171
172,4,24472,63,259,225206
173,8,24468,61,238,225233
174,5,24460,59,211,225270
175,2,24455,52,185,225308
176,3,24453,45,168,225334
177,4,24450,39,151,225360
178,2,24446,34,153,225367
179,3,24444,30,144,225382
180,2,24441,27,127,225405
181,2,24439,22,118,225421
182,1,24437,19,114,225430
183,1,24436,19,104,225441
184,3,24435,17,95,225453
185,2,24432,15,85,225468
186,2,24430,14,80,225476
187,1,24428,14,71,225487
188,1,24427,12,64,225497
189,1,24426,11,55,225508
190,0,24425,9,56,225510
191,1,24425,8,50,225517
192,0,24424,8,45,225523
193,0,24424,6,38,225532
194,1,24424,5,34,225537
195,2,24423,4,31,225542
196,1,24421,4,29,225546
197,0,24420,5,27,225548
198,0,24420,4,25,225551
199,2,24420,3,23,225554
200,1,24418,5,21,225556
201,1,24417,5,18,225560
202,0,24416,5,17,225562
203,2,24416,5,15,225564
204,0,24414,6,11,225569
205,1,24414,6,11,225569
206,0,24413,4,14,225569
207,1,24413,4,13,225570
208,1,24412,5,12,225571
209,0,24411,4,13,225572
210,1,24411,4,10,225575
211,0,24410,5,6,225579
212,0,24410,4,6,225580
213,0,24410,3,7,225580
214,0,24410,3,6,225581
215,0,24410,3,6,225581
216,0,24410,3,5,225582
217,0,24410,2,5,225583
218,0,24410,2,5,225583
219,0,24410,1,6,225583
220,0,24410,1,5,225584
221,0,24410,1,4,225585
222,0,24410,1,4,225585
223,0,24410,1,4,225585
224,0,24410,0,4,225586
225,0,24410,0,4,225586
226,0,24410,0,4,225586
227,0,24410,0,4,225586
228,0,24410,0,3,225587
229,0,24410,0,3,225587
230,0,24410,0,2,225588
231,0,24410,0,2,225588
232,1,24410,0,2,225588
233,0,24409,1,2,225588
234,0,24409,1,1,225589
235,0,24409,1,1,225589
236,0,24409,1,1,225589
237,0,24409,1,1,225589
238,0,24409,1,1,225589
239,0,24409,1,0,225590
240,0,24409,0,1,225590
241,0,24409,0,1,225590
242,0,24409,0,1,225590
243,0,24409,0,1,225590
244,0,24409,0,1,225590
245,0,24409,0,1,225590
246,0,24409,0,1,225590
247,0,24409,0,1,225590
248,0,24409,0,1,225590
249,0,24409,0,1,225590
250,0,24409,0,1,225590
251,0,24409,0,1,225590
252,0,24409,0,1,225590
253,0,24409,0,0,225591
254,0,24409,0,0,225591
255,0,24409,0,0,225591
256,0,24409,0,0,225591
257,0,24409,0,0,225591
258,0,24409,0,0,225591
259,0,24409,0,0,225591
260,0,24409,0,0,225591
261,0,24409,0,0,225591
262,0,24409,0,0,225591
263,0,24409,0,0,225591
264,0,24409,0,0,225591
265,0,24409,0,0,225591
266,0,24409,0,0,225591
267,0,24409,0,0,225591
268,0,24409,0,0,225591
269,0,24409,0,0,225591
270,0,24409,0,0,225591
271,0,24409,0,0,225591
272,0,24409,0,0,225591
273,0,24409,0,0,225591
274,0,24409,0,0,225591
275,0,24409,0,0,225591
276,0,24409,0,0,225591
277,0,24409,0,0,225591
278,0,24409,0,0,225591
279,0,24409,0,0,225591
280,0,24409,0,0,225591
281,0,24409,0,0,225591
282,0,24409,0,0,225591
283,0,24409,0,0,225591
284,0,24409,0,0,225591
285,0,24409,0,0,225591
286,0,24409,0,0,225591
287,0,24409,0,0,225591
288,0,24409,0,0,225591
289,0,24409,0,0,225591
290,0,24409,0,0,225591
291,0,24409,0,0,225591
292,0,24409,0,0,225591
293,0,24409,0,0,225591
294,0,24409,0,0,225591
295,0,24409,0,0,225591
296,0,24409,0,0,225591
297,0,24409,0,0,225591
298,0,24409,0,0,225591
299,0,24409,0,0,225591
300,0,24409,0,0,225591
